id,Ime,Priimek,Naslov,Zaposlen
1,Garrett,Schultheiss,1 Talmadge Lane,False
2,Phineas,Dudgeon,454 Russell Street,False
3,Paolo,Crewdson,1606 Susan Parkway,False
4,Karil,O'Callaghan,08243 Granby Plaza,False
5,Emmanuel,Klausewitz,1 Utah Trail,False
6,Fidela,Boagey,997 Pankratz Parkway,False
7,Daniel,McGlue,3154 Arapahoe Place,False
8,Hilary,Mournian,02 Sachtjen Circle,False
9,Martica,Moro,237 Barby Circle,False
10,Niles,Elliman,55535 Lyons Pass,False
11,Lucille,Barz,25716 7th Park,False
12,Ulrike,McLeish,33835 Hanson Lane,False
13,Vinnie,Chestnut,196 Forest Crossing,True
14,Tim,Beardsall,205 Meadow Ridge Park,False
15,Link,Mangham,6 Colorado Hill,False
16,Austin,Rofe,3 Old Shore Junction,False
17,Elysee,Algy,5466 Briar Crest Pass,False
18,Nealon,Foucar,2530 Butternut Drive,False
19,Jemmie,Callan,259 Rutledge Circle,False
20,Kariotta,Barritt,3588 Ronald Regan Avenue,False
21,Abeu,Chace,1 Ruskin Terrace,False
22,Tracie,Sorton,45954 Waywood Crossing,False
23,Ivor,Spottswood,04 Southridge Hill,False
24,Kinnie,Ambroziak,42138 Canary Alley,False
25,Duke,Stickford,15144 7th Way,False
26,Barby,Halfhead,343 Kenwood Park,True
27,Gearard,Le Brum,1652 Barby Way,False
28,Gloriana,Guymer,0 Raven Parkway,False
29,Vidovik,Sommerscales,53 Bartillon Plaza,False
30,Adelheid,Axelby,792 Roxbury Point,False
31,Ezekiel,Lugton,8 Dakota Park,False
32,Catha,Sertin,3 Milwaukee Parkway,False
33,Karyl,Farquarson,2823 Westport Park,False
34,Louise,Seldon,784 Mockingbird Place,False
35,Shell,Lagden,05 Graedel Avenue,False
36,Lynda,Hovington,6014 Burrows Alley,False
37,Kristen,Loweth,200 Quincy Way,False
38,Leonie,Jupp,982 Tennessee Circle,False
39,Amalita,Boskell,383 Lotheville Junction,True
40,Myrtice,Parnell,4 Northland Way,False
41,Will,Merrin,85459 Logan Plaza,False
42,Walther,Matteau,11715 Holy Cross Park,False
43,Edi,Tomkowicz,5836 Main Court,False
44,Tito,Halpine,0 Roxbury Drive,False
45,Vittoria,Bloggett,9 Ryan Parkway,False
46,Davie,Egiloff,97186 Blaine Center,False
47,Kiele,Sames,00 Maryland Pass,False
48,Jackson,Betjes,711 Schmedeman Pass,False
49,Richy,Antonov,438 Transport Hill,False
50,Celinda,Berndtssen,624 Brickson Park Place,False
51,Shem,Cockland,8 Twin Pines Junction,False
52,Johnath,Partleton,8 Troy Road,True
53,Dee,Nuzzetti,82 Mifflin Alley,False
